token_id,symbol,name,url
1,VEBANNY001,#CHARACTER_NAME No. 001,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/1
2,VEBANNY002,#CHARACTER_NAME No. 002,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/2
3,VEBANNY003,#CHARACTER_NAME No. 003,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/3
4,VEBANNY004,#CHARACTER_NAME No. 004,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/4
5,VEBANNY005,#CHARACTER_NAME No. 005,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/5
6,VEBANNY006,#CHARACTER_NAME No. 006,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/6
7,VEBANNY007,#CHARACTER_NAME No. 007,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/7
8,VEBANNY008,#CHARACTER_NAME No. 008,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/8
9,VEBANNY009,#CHARACTER_NAME No. 009,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/9
10,VEBANNY010,#CHARACTER_NAME No. 010,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/10
11,VEBANNY011,#CHARACTER_NAME No. 011,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/11
12,VEBANNY012,#CHARACTER_NAME No. 012,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/12
13,VEBANNY013,#CHARACTER_NAME No. 013,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/13
14,VEBANNY014,#CHARACTER_NAME No. 014,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/14
15,VEBANNY015,#CHARACTER_NAME No. 015,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/15
16,VEBANNY016,#CHARACTER_NAME No. 016,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/16
17,VEBANNY017,#CHARACTER_NAME No. 017,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/17
18,VEBANNY018,#CHARACTER_NAME No. 018,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/18
19,VEBANNY019,#CHARACTER_NAME No. 019,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/19
20,VEBANNY020,#CHARACTER_NAME No. 020,https://gateway.pinata.cloud/ipfs/bafybeibkhurzdbjbtf4tuc24x6tzur5sbbzqy4p7ghjvo5mbuom37rrfsq/20
21,VEBANNY021,#CHARACTER_NAME No. 021,https://gateway.pinata.cloud/ipfs/bafybeih2jzzxppjpzdpdys5r7qrle2bzcnyqpzeogwygskpgnptriq7js4/21
22,VEBANNY022,#CHARACTER_NAME No. 022,https://gateway.pinata.cloud/ipfs/bafybeih2jzzxppjpzdpdys5r7qrle2bzcnyqpzeogwygskpgnptriq7js4/22
23,VEBANNY023,#CHARACTER_NAME No. 023,https://gateway.pinata.cloud/ipfs/bafybeih2jzzxppjpzdpdys5r7qrle2bzcnyqpzeogwygskpgnptriq7js4/23
24,VEBANNY024,#CHARACTER_NAME No. 024,https://gateway.pinata.cloud/ipfs/bafybeih2jzzxppjpzdpdys5r7qrle2bzcnyqpzeogwygskpgnptriq7js4/24
25,VEBANNY025,#CHARACTER_NAME No. 025,https://gateway.pinata.cloud/ipfs/bafybeih2jzzxppjpzdpdys5r7qrle2bzcnyqpzeogwygskpgnptriq7js4/25
26,VEBANNY026,#CHARACTER_NAME No. 026,https://gateway.pinata.cloud/ipfs/bafybeih2jzzxppjpzdpdys5r7qrle2bzcnyqpzeogwygskpgnptriq7js4/26
