Index,File Name,Image Hash,Image URL,CID,Metadata URL ,Metadata CID,Token Tier,Background,Number Background Like Mine,Percent Background Like Mine,Body,Number Body Like Mine,Percent Body Like Mine,Face,Number Face Like Mine,Percent Face Like Mine,Choker,Number Choker Like Mine,Percent Choker Like Mine,Lower_Accessory,Number Lower_Accessory Like Mine,Percent Lower_Accessory Like Mine,Outfit,Number Outfit Like Mine,Percent Outfit Like Mine,Oral_Fixation,Number Oral_Fixation Like Mine,Percent Oral_Fixation Like Mine,Headgear,Number Headgear Like Mine,Percent Headgear Like Mine,Left_Hand,Number Left_Hand Like Mine,Percent Left_Hand Like Mine,Right_Hand,Number Right_Hand Like Mine,Percent Right_Hand Like Mine,Both_Hands,Number Both_Hands Like Mine,Percent Both_Hands Like Mine
1,001.png,df717600e8d6463a02d42305768a63ba6c0068b712740c99418dd6efe27cdff5,https://gateway.pinata.cloud/ipfs/bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu/001.png,bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/1.json,bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza,,10 Days,60,20,Yellow,270,90,Eye Mouth,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,No Hat,51,17,Nothing,255,85,Nothing,220,73.33333333333333,Nothing,300,100
2,002.png,e93dde40d30da0db2e243ddf32bc7d4177f01fcd30182beca2d54189b5b7f228,https://gateway.pinata.cloud/ipfs/bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu/002.png,bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/2.json,bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza,,50 Days,60,20,Yellow,270,90,Eye Mouth,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,No Hat,51,17,Nothing,255,85,Nothing,220,73.33333333333333,Nothing,300,100
3,003.png,611de4998973d6d45d17e37961581c37fdb27c7842c4f8f33cd91fc88dfdde63,https://gateway.pinata.cloud/ipfs/bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu/003.png,bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/3.json,bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza,,100 Days,60,20,Yellow,270,90,Eye Mouth,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,No Hat,51,17,Nothing,255,85,Nothing,220,73.33333333333333,Nothing,300,100
4,004.png,8c1ad0a6a9b4217dbbdef1fb84cd0caddde83128e70e616e0f4874f65230f018,https://gateway.pinata.cloud/ipfs/bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu/004.png,bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/4.json,bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza,,500 Days,60,20,Yellow,270,90,Eye Mouth,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,No Hat,51,17,Nothing,255,85,Nothing,220,73.33333333333333,Nothing,300,100
5,005.png,d5e829cfa7fc2c9c04821bddb985a8f26b2b3fbe85e8d43fdc90d0c5cd3587a0,https://gateway.pinata.cloud/ipfs/bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu/005.png,bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/5.json,bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza,,1000 Days,60,20,Yellow,270,90,Eye Mouth,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,No Hat,51,17,Nothing,255,85,Nothing,220,73.33333333333333,Nothing,300,100
6,006.png,16e689604ce85d96f6675f1da6da3b1e9888fc0585d64fceae12feacb2a5db0e,https://gateway.pinata.cloud/ipfs/bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu/006.png,bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/6.json,bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza,,10 Days,60,20,Yellow,270,90,Eye Mouth,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,Clown,5,1.6666666666666667,Nothing,255,85,Lollipop,5,1.6666666666666667,Nothing,300,100
7,007.png,67e6fc8b7c37383859fa9436e45aacff7bdb96705387e17acac6db1ea5e8c9ff,https://gateway.pinata.cloud/ipfs/bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu/007.png,bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/7.json,bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza,,50 Days,60,20,Yellow,270,90,Eye Mouth,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,Clown,5,1.6666666666666667,Nothing,255,85,Lollipop,5,1.6666666666666667,Nothing,300,100
8,008.png,e5ca683fb7fe61205f17de965a4affaf8e73ad6ce1808162d590c03fb0555909,https://gateway.pinata.cloud/ipfs/bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu/008.png,bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/8.json,bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza,,100 Days,60,20,Yellow,270,90,Eye Mouth,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,Clown,5,1.6666666666666667,Nothing,255,85,Lollipop,5,1.6666666666666667,Nothing,300,100
9,009.png,7021f8e2b5f51eeb0cf4fd3182cfd3faa0a68113425ebd132856f609e6fdcddd,https://gateway.pinata.cloud/ipfs/bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu/009.png,bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/9.json,bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza,,500 Days,60,20,Yellow,270,90,Eye Mouth,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,Clown,5,1.6666666666666667,Nothing,255,85,Lollipop,5,1.6666666666666667,Nothing,300,100
10,010.png,a5349e8ed8fedda0a52112bb827b11799f870f83f2f5bb24ee8da0c87280845b,https://gateway.pinata.cloud/ipfs/bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu/010.png,bafybeibegsk5otvi3dfkyxib7gopwv4hlsoxohhzodqo24gjhmyaapdrlu,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/10.json,bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza,,1000 Days,60,20,Yellow,270,90,Eye Mouth,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,Clown,5,1.6666666666666667,Nothing,255,85,Lollipop,5,1.6666666666666667,Nothing,300,100
