token_id,symbol,name,url
1,veJBX-001,Juicebox's Governance Banana No. 001,
2,veJBX-002,Juicebox's Governance Banana No. 002,
3,veJBX-003,Juicebox's Governance Banana No. 003,
4,veJBX-004,Juicebox's Governance Banana No. 004,
5,veJBX-005,Juicebox's Governance Banana No. 005,
6,veJBX-006,Juicebox's Governance Banana No. 006,
7,veJBX-007,Juicebox's Governance Banana No. 007,
8,veJBX-008,Juicebox's Governance Banana No. 008,
9,veJBX-009,Juicebox's Governance Banana No. 009,
10,veJBX-010,Juicebox's Governance Banana No. 010,
11,veJBX-011,Juicebox's Governance Banana No. 011,
12,veJBX-012,Juicebox's Governance Banana No. 012,
13,veJBX-013,Juicebox's Governance Banana No. 013,
14,veJBX-014,Juicebox's Governance Banana No. 014,
15,veJBX-015,Juicebox's Governance Banana No. 015,
16,veJBX-016,Juicebox's Governance Banana No. 016,
17,veJBX-017,Juicebox's Governance Banana No. 017,
18,veJBX-018,Juicebox's Governance Banana No. 018,
19,veJBX-019,Juicebox's Governance Banana No. 019,
20,veJBX-020,Juicebox's Governance Banana No. 020,
21,veJBX-021,Juicebox's Governance Banana No. 021,
22,veJBX-022,Juicebox's Governance Banana No. 022,
23,veJBX-023,Juicebox's Governance Banana No. 023,
24,veJBX-024,Juicebox's Governance Banana No. 024,
25,veJBX-025,Juicebox's Governance Banana No. 025,
26,veJBX-026,Juicebox's Governance Banana No. 026,
27,veJBX-027,Juicebox's Governance Banana No. 027,
28,veJBX-028,Juicebox's Governance Banana No. 028,
29,veJBX-029,Juicebox's Governance Banana No. 029,
30,veJBX-030,Juicebox's Governance Banana No. 030,
31,veJBX-031,Juicebox's Governance Banana No. 031,
32,veJBX-032,Juicebox's Governance Banana No. 032,
33,veJBX-033,Juicebox's Governance Banana No. 033,
34,veJBX-034,Juicebox's Governance Banana No. 034,
35,veJBX-035,Juicebox's Governance Banana No. 035,
36,veJBX-036,Juicebox's Governance Banana No. 036,
37,veJBX-037,Juicebox's Governance Banana No. 037,
38,veJBX-038,Juicebox's Governance Banana No. 038,
39,veJBX-039,Juicebox's Governance Banana No. 039,
40,veJBX-040,Juicebox's Governance Banana No. 040,
41,veJBX-041,Juicebox's Governance Banana No. 041,
42,veJBX-042,Juicebox's Governance Banana No. 042,
43,veJBX-043,Juicebox's Governance Banana No. 043,
44,veJBX-044,Juicebox's Governance Banana No. 044,
45,veJBX-045,Juicebox's Governance Banana No. 045,
46,veJBX-046,Juicebox's Governance Banana No. 046,
47,veJBX-047,Juicebox's Governance Banana No. 047,
48,veJBX-048,Juicebox's Governance Banana No. 048,
49,veJBX-049,Juicebox's Governance Banana No. 049,
50,veJBX-050,Juicebox's Governance Banana No. 050,
51,veJBX-051,Juicebox's Governance Banana No. 051,
52,veJBX-052,Juicebox's Governance Banana No. 052,
53,veJBX-053,Juicebox's Governance Banana No. 053,
54,veJBX-054,Juicebox's Governance Banana No. 054,
55,veJBX-055,Juicebox's Governance Banana No. 055,
56,veJBX-056,Juicebox's Governance Banana No. 056,
57,veJBX-057,Juicebox's Governance Banana No. 057,
58,veJBX-058,Juicebox's Governance Banana No. 058,
59,veJBX-059,Juicebox's Governance Banana No. 059,
60,veJBX-060,Juicebox's Governance Banana No. 060,
61,veJBX-061,Juicebox's Governance Banana No. 061,
62,veJBX-062,Juicebox's Governance Banana No. 062,
