token_id,symbol,name,url
1,veJBX-001,Juicebox's Governance Token No. 001,https://gateway.pinata.cloud/ipfs/bafybeid64vrqul6a2tivtofhq7avz3jjcmgtukevhhewt5dxeigpcir3cy/1.json
2,veJBX-002,Juicebox's Governance Token No. 002,https://gateway.pinata.cloud/ipfs/bafybeid64vrqul6a2tivtofhq7avz3jjcmgtukevhhewt5dxeigpcir3cy/2.json
3,veJBX-003,Juicebox's Governance Token No. 003,https://gateway.pinata.cloud/ipfs/bafybeid64vrqul6a2tivtofhq7avz3jjcmgtukevhhewt5dxeigpcir3cy/3.json
4,veJBX-004,Juicebox's Governance Token No. 004,https://gateway.pinata.cloud/ipfs/bafybeid64vrqul6a2tivtofhq7avz3jjcmgtukevhhewt5dxeigpcir3cy/4.json
5,veJBX-005,Juicebox's Governance Token No. 005,https://gateway.pinata.cloud/ipfs/bafybeid64vrqul6a2tivtofhq7avz3jjcmgtukevhhewt5dxeigpcir3cy/5.json
6,veJBX-006,Juicebox's Governance Token No. 006,https://gateway.pinata.cloud/ipfs/bafybeid64vrqul6a2tivtofhq7avz3jjcmgtukevhhewt5dxeigpcir3cy/6.json
7,veJBX-007,Juicebox's Governance Token No. 007,https://gateway.pinata.cloud/ipfs/bafybeid64vrqul6a2tivtofhq7avz3jjcmgtukevhhewt5dxeigpcir3cy/7.json
8,veJBX-008,Juicebox's Governance Token No. 008,https://gateway.pinata.cloud/ipfs/bafybeid64vrqul6a2tivtofhq7avz3jjcmgtukevhhewt5dxeigpcir3cy/8.json
9,veJBX-009,Juicebox's Governance Token No. 009,https://gateway.pinata.cloud/ipfs/bafybeid64vrqul6a2tivtofhq7avz3jjcmgtukevhhewt5dxeigpcir3cy/9.json
10,veJBX-010,Juicebox's Governance Token No. 010,https://gateway.pinata.cloud/ipfs/bafybeid64vrqul6a2tivtofhq7avz3jjcmgtukevhhewt5dxeigpcir3cy/10.json
11,veJBX-011,Juicebox's Governance Token No. 011,https://gateway.pinata.cloud/ipfs/bafybeid64vrqul6a2tivtofhq7avz3jjcmgtukevhhewt5dxeigpcir3cy/11.json
12,veJBX-012,Juicebox's Governance Token No. 012,https://gateway.pinata.cloud/ipfs/bafybeid64vrqul6a2tivtofhq7avz3jjcmgtukevhhewt5dxeigpcir3cy/12.json
13,veJBX-013,Juicebox's Governance Token No. 013,https://gateway.pinata.cloud/ipfs/bafybeid64vrqul6a2tivtofhq7avz3jjcmgtukevhhewt5dxeigpcir3cy/13.json
14,veJBX-014,Juicebox's Governance Token No. 014,https://gateway.pinata.cloud/ipfs/bafybeid64vrqul6a2tivtofhq7avz3jjcmgtukevhhewt5dxeigpcir3cy/14.json
15,veJBX-015,Juicebox's Governance Token No. 015,https://gateway.pinata.cloud/ipfs/bafybeid64vrqul6a2tivtofhq7avz3jjcmgtukevhhewt5dxeigpcir3cy/15.json
16,veJBX-016,Juicebox's Governance Token No. 016,https://gateway.pinata.cloud/ipfs/bafybeid64vrqul6a2tivtofhq7avz3jjcmgtukevhhewt5dxeigpcir3cy/16.json
